b#,bundle
b1,Arcuate_Fasciculus_L
b2,Arcuate_Fasciculus_R
b3,Cingulum_Frontal_Parahippocampal_L
b4,Cingulum_Frontal_Parahippocampal_R
b5,Cingulum_Frontal_Parietal_L
b6,Cingulum_Frontal_Parietal_R
b7,Cingulum_Parahippocampal_L
b8,Cingulum_Parahippocampal_R
b9,Cingulum_Parahippocampal_Parietal_L
b10,Cingulum_Parahippocampal_Parietal_R
b11,Cingulum_Rarolfactory_L
b12,Cingulum_Rarolfactory_R
b13,Corpus_Callosum_Body
b14,Corpus_Callosum_Forceps_Major
b15,Corpus_Callosum_Forceps_Minor
b16,Corticospinal_Tract_L
b17,Corticospinal_Tract_R
b18,Fornix_L
b19,Fornix_R
b20,Frontal_Aslant_Tract_L
b21,Frontal_Aslant_Tract_R
b22,Inferior_Fronto_Occipital_Fasciculus_L
b23,Inferior_Fronto_Occipital_Fasciculus_R
b24,Inferior_Longitudinal_Fasciculus_L
b25,Inferior_Longitudinal_Fasciculus_R
b26,Middle_Longitudinal_Fasciculus_L
b27,Middle_Longitudinal_Fasciculus_R
b28,Optic_Radiation_L
b29,Optic_Radiation_R
b30,Parietal_Aslant_Tract_L
b31,Parietal_Aslant_Tract_R
b32,Superior_Longitudinal_Fasciculus1_L
b33,Superior_Longitudinal_Fasciculus1_R
b34,Superior_Longitudinal_Fasciculus2_L
b35,Superior_Longitudinal_Fasciculus2_R
b36,Superior_Longitudinal_Fasciculus3_L
b37,Superior_Longitudinal_Fasciculus3_R
b38,Thalamic_Radiation_Anterior_L
b39,Thalamic_Radiation_Anterior_R
b40,Thalamic_Radiation_Inferior_L
b41,Thalamic_Radiation_Inferior_R
b42,Thalamic_Radiation_Posterior_L
b43,Thalamic_Radiation_Posterior_R
b44,Thalamic_Radiation_Superior_L
b45,Thalamic_Radiation_Superior_R
b46,Uncinate_Fasciculus_L
b47,Uncinate_Fasciculus_R
b48,Vertical_Occipital_Fasciculus_L
b49,Vertical_Occipital_Fasciculus_R
