m#,measure
V1,NumberOfTracts
V2,MeanLength
V3,Span
V4,Curl
V5,Elongation
V6,Diameter
V7,Volume
V8,TrunkVolume
V9,BranchVolume
V10,TotalSurfaceArea
V11,TotalRadiusOfEndRegions
V12,TotalAreaOfEndRegions
V13,Irregularity
V14,AreaOfEndRegion1
V15,RadiusOfEndRegion1
V16,IrregularityofEndRegion1
V17,AreaOfEndRegion2
V18,RadiusOfEndRegion2
V19,IrregularityofEndRegion2
V20,qa
V21,nqa
V22,dti_fa
V23,md
V24,ad
V25,rd
V26,gfa
V27,iso
V28,rdi
V29,nrdi02L
V30,nrdi04L
V31,nrdi06L
