bundle_measure_abr,bundle_abr,measure_abr,bundle_measure,measure,bundle,model,importance
b1_V1,b1,V1,Arcuate_Fasciculus_L : NumberOfTracts,NumberOfTracts,Arcuate_Fasciculus_L,lgrg,0.099552348
b1_V2,b1,V2,Arcuate_Fasciculus_L : MeanLength,MeanLength,Arcuate_Fasciculus_L,lgrg,0.109765869
b1_V3,b1,V3,Arcuate_Fasciculus_L : Span,Span,Arcuate_Fasciculus_L,lgrg,0.092582386
b1_V4,b1,V4,Arcuate_Fasciculus_L : Curl,Curl,Arcuate_Fasciculus_L,lgrg,0.099552348
b1_V5,b1,V5,Arcuate_Fasciculus_L : Elongation,Elongation,Arcuate_Fasciculus_L,lgrg,0.149472518
b1_V6,b1,V6,Arcuate_Fasciculus_L : Diameter,Diameter,Arcuate_Fasciculus_L,lgrg,0.099552348
b1_V7,b1,V7,Arcuate_Fasciculus_L : Volume,Volume,Arcuate_Fasciculus_L,lgrg,0.099552348
b1_V8,b1,V8,Arcuate_Fasciculus_L : TrunkVolume,TrunkVolume,Arcuate_Fasciculus_L,lgrg,0.119216378
b1_V9,b1,V9,Arcuate_Fasciculus_L : BranchVolume,BranchVolume,Arcuate_Fasciculus_L,lgrg,0.071492107
b1_V10,b1,V10,Arcuate_Fasciculus_L : TotalSurfaceArea,TotalSurfaceArea,Arcuate_Fasciculus_L,lgrg,0.108780076
b1_V11,b1,V11,Arcuate_Fasciculus_L : TotalRadiusOfEndRegions,TotalRadiusOfEndRegions,Arcuate_Fasciculus_L,lgrg,0.1108401
b1_V12,b1,V12,Arcuate_Fasciculus_L : TotalAreaOfEndRegions,TotalAreaOfEndRegions,Arcuate_Fasciculus_L,lgrg,0.099552348
b1_V13,b1,V13,Arcuate_Fasciculus_L : Irregularity,Irregularity,Arcuate_Fasciculus_L,lgrg,0.152887709
b1_V14,b1,V14,Arcuate_Fasciculus_L : AreaOfEndRegion1,AreaOfEndRegion1,Arcuate_Fasciculus_L,lgrg,0.099552348
b1_V15,b1,V15,Arcuate_Fasciculus_L : RadiusOfEndRegion1,RadiusOfEndRegion1,Arcuate_Fasciculus_L,lgrg,0.118112971
b1_V16,b1,V16,Arcuate_Fasciculus_L : IrregularityofEndRegion1,IrregularityofEndRegion1,Arcuate_Fasciculus_L,lgrg,0.103358004
b1_V17,b1,V17,Arcuate_Fasciculus_L : AreaOfEndRegion2,AreaOfEndRegion2,Arcuate_Fasciculus_L,lgrg,0.088428481
b1_V18,b1,V18,Arcuate_Fasciculus_L : RadiusOfEndRegion2,RadiusOfEndRegion2,Arcuate_Fasciculus_L,lgrg,0.099552348
b1_V19,b1,V19,Arcuate_Fasciculus_L : IrregularityofEndRegion2,IrregularityofEndRegion2,Arcuate_Fasciculus_L,lgrg,0.099552348
b1_V20,b1,V20,Arcuate_Fasciculus_L : qa,qa,Arcuate_Fasciculus_L,lgrg,0.116132331
b1_V21,b1,V21,Arcuate_Fasciculus_L : nqa,nqa,Arcuate_Fasciculus_L,lgrg,0.099552348
b1_V22,b1,V22,Arcuate_Fasciculus_L : dti_fa,dti_fa,Arcuate_Fasciculus_L,lgrg,0.099552348
b1_V23,b1,V23,Arcuate_Fasciculus_L : md,md,Arcuate_Fasciculus_L,lgrg,0.099552348
b1_V24,b1,V24,Arcuate_Fasciculus_L : ad,ad,Arcuate_Fasciculus_L,lgrg,0.099552348
b1_V25,b1,V25,Arcuate_Fasciculus_L : rd,rd,Arcuate_Fasciculus_L,lgrg,0.099552348
b1_V26,b1,V26,Arcuate_Fasciculus_L : gfa,gfa,Arcuate_Fasciculus_L,lgrg,0.099552348
b1_V27,b1,V27,Arcuate_Fasciculus_L : iso,iso,Arcuate_Fasciculus_L,lgrg,0.099552348
b1_V28,b1,V28,Arcuate_Fasciculus_L : rdi,rdi,Arcuate_Fasciculus_L,lgrg,0.099552348
b1_V29,b1,V29,Arcuate_Fasciculus_L : nrdi02L,nrdi02L,Arcuate_Fasciculus_L,lgrg,0.099552348
b1_V30,b1,V30,Arcuate_Fasciculus_L : nrdi04L,nrdi04L,Arcuate_Fasciculus_L,lgrg,0.099552348
b1_V31,b1,V31,Arcuate_Fasciculus_L : nrdi06L,nrdi06L,Arcuate_Fasciculus_L,lgrg,0.099552348
b2_V1,b2,V1,Arcuate_Fasciculus_R : NumberOfTracts,NumberOfTracts,Arcuate_Fasciculus_R,lgrg,0.099552348
b2_V2,b2,V2,Arcuate_Fasciculus_R : MeanLength,MeanLength,Arcuate_Fasciculus_R,lgrg,0.099552348
b2_V3,b2,V3,Arcuate_Fasciculus_R : Span,Span,Arcuate_Fasciculus_R,lgrg,0.105719224
b2_V4,b2,V4,Arcuate_Fasciculus_R : Curl,Curl,Arcuate_Fasciculus_R,lgrg,0.099552348
b2_V5,b2,V5,Arcuate_Fasciculus_R : Elongation,Elongation,Arcuate_Fasciculus_R,lgrg,0.099552348
b2_V6,b2,V6,Arcuate_Fasciculus_R : Diameter,Diameter,Arcuate_Fasciculus_R,lgrg,0.099552348
b2_V7,b2,V7,Arcuate_Fasciculus_R : Volume,Volume,Arcuate_Fasciculus_R,lgrg,0.099552348
b2_V8,b2,V8,Arcuate_Fasciculus_R : TrunkVolume,TrunkVolume,Arcuate_Fasciculus_R,lgrg,0.0931499
b2_V9,b2,V9,Arcuate_Fasciculus_R : BranchVolume,BranchVolume,Arcuate_Fasciculus_R,lgrg,0.099552348
b2_V10,b2,V10,Arcuate_Fasciculus_R : TotalSurfaceArea,TotalSurfaceArea,Arcuate_Fasciculus_R,lgrg,0.099552348
b2_V11,b2,V11,Arcuate_Fasciculus_R : TotalRadiusOfEndRegions,TotalRadiusOfEndRegions,Arcuate_Fasciculus_R,lgrg,0.099552348
