bundle_measure_abr,bundle_abr,measure_abr,bundle_measure,measure,bundle,model,importance
b38_V23,b38,V23,Thalamic_Radiation_Anterior_L : md,md,Thalamic_Radiation_Anterior_L,lgrg,0
b31_V24,b31,V24,Parietal_Aslant_Tract_R : ad,ad,Parietal_Aslant_Tract_R,lgrg,2.360241
b18_V16,b18,V16,Fornix_L : IrregularityofEndRegion1,IrregularityofEndRegion1,Fornix_L,lgrg,0
b26_V12,b26,V12,Middle_Longitudinal_Fasciculus_L : TotalAreaOfEndRegions,TotalAreaOfEndRegions,Middle_Longitudinal_Fasciculus_L,lgrg,0
b13_V16,b13,V16,Corpus_Callosum_Body : IrregularityofEndRegion1,IrregularityofEndRegion1,Corpus_Callosum_Body,lgrg,0
b47_V23,b47,V23,Uncinate_Fasciculus_R : md,md,Uncinate_Fasciculus_R,lgrg,3.812697
b49_V21,b49,V21,Vertical_Occipital_Fasciculus_R : nqa,nqa,Vertical_Occipital_Fasciculus_R,lgrg,0
b36_V23,b36,V23,Superior_Longitudinal_Fasciculus3_L : md,md,Superior_Longitudinal_Fasciculus3_L,lgrg,0
b6_V25,b6,V25,Cingulum_Frontal_Parietal_R : rd,rd,Cingulum_Frontal_Parietal_R,lgrg,0
b9_V22,b9,V22,Cingulum_Parahippocampal_Parietal_L : dti_fa,dti_fa,Cingulum_Parahippocampal_Parietal_L,lgrg,0
b49_V12,b49,V12,Vertical_Occipital_Fasciculus_R : TotalAreaOfEndRegions,TotalAreaOfEndRegions,Vertical_Occipital_Fasciculus_R,lgrg,0
b21_V22,b21,V22,Frontal_Aslant_Tract_R : dti_fa,dti_fa,Frontal_Aslant_Tract_R,lgrg,0
b15_V12,b15,V12,Corpus_Callosum_Forceps_Minor : TotalAreaOfEndRegions,TotalAreaOfEndRegions,Corpus_Callosum_Forceps_Minor,lgrg,0
b21_V26,b21,V26,Frontal_Aslant_Tract_R : gfa,gfa,Frontal_Aslant_Tract_R,lgrg,17.611029
b2_V6,b2,V6,Arcuate_Fasciculus_R : Diameter,Diameter,Arcuate_Fasciculus_R,lgrg,0
b39_V16,b39,V16,Thalamic_Radiation_Anterior_R : IrregularityofEndRegion1,IrregularityofEndRegion1,Thalamic_Radiation_Anterior_R,lgrg,0
b3_V3,b3,V3,Cingulum_Frontal_Parahippocampal_L : Span,Span,Cingulum_Frontal_Parahippocampal_L,lgrg,0
b31_V2,b31,V2,Parietal_Aslant_Tract_R : MeanLength,MeanLength,Parietal_Aslant_Tract_R,lgrg,0
b27_V7,b27,V7,Middle_Longitudinal_Fasciculus_R : Volume,Volume,Middle_Longitudinal_Fasciculus_R,lgrg,0
b22_V18,b22,V18,Inferior_Fronto_Occipital_Fasciculus_L : RadiusOfEndRegion2,RadiusOfEndRegion2,Inferior_Fronto_Occipital_Fasciculus_L,lgrg,0
b15_V4,b15,V4,Corpus_Callosum_Forceps_Minor : Curl,Curl,Corpus_Callosum_Forceps_Minor,lgrg,0
b29_V23,b29,V23,Optic_Radiation_R : md,md,Optic_Radiation_R,lgrg,0
b8_V18,b8,V18,Cingulum_Parahippocampal_R : RadiusOfEndRegion2,RadiusOfEndRegion2,Cingulum_Parahippocampal_R,lgrg,0
b48_V4,b48,V4,Vertical_Occipital_Fasciculus_L : Curl,Curl,Vertical_Occipital_Fasciculus_L,lgrg,0
b15_V2,b15,V2,Corpus_Callosum_Forceps_Minor : MeanLength,MeanLength,Corpus_Callosum_Forceps_Minor,lgrg,0
b5_V4,b5,V4,Cingulum_Frontal_Parietal_L : Curl,Curl,Cingulum_Frontal_Parietal_L,lgrg,0
b4_V1,b4,V1,Cingulum_Frontal_Parahippocampal_R : NumberOfTracts,NumberOfTracts,Cingulum_Frontal_Parahippocampal_R,lgrg,0
b16_V12,b16,V12,Corticospinal_Tract_L : TotalAreaOfEndRegions,TotalAreaOfEndRegions,Corticospinal_Tract_L,lgrg,0
b44_V24,b44,V24,Thalamic_Radiation_Superior_L : ad,ad,Thalamic_Radiation_Superior_L,lgrg,0
b43_V25,b43,V25,Thalamic_Radiation_Posterior_R : rd,rd,Thalamic_Radiation_Posterior_R,lgrg,0
b7_V3,b7,V3,Cingulum_Parahippocampal_L : Span,Span,Cingulum_Parahippocampal_L,lgrg,0
b16_V17,b16,V17,Corticospinal_Tract_L : AreaOfEndRegion2,AreaOfEndRegion2,Corticospinal_Tract_L,lgrg,0
b38_V8,b38,V8,Thalamic_Radiation_Anterior_L : TrunkVolume,TrunkVolume,Thalamic_Radiation_Anterior_L,lgrg,0
b19_V14,b19,V14,Fornix_R : AreaOfEndRegion1,AreaOfEndRegion1,Fornix_R,lgrg,0
b27_V14,b27,V14,Middle_Longitudinal_Fasciculus_R : AreaOfEndRegion1,AreaOfEndRegion1,Middle_Longitudinal_Fasciculus_R,lgrg,0
b5_V24,b5,V24,Cingulum_Frontal_Parietal_L : ad,ad,Cingulum_Frontal_Parietal_L,lgrg,0
b14_V19,b14,V19,Corpus_Callosum_Forceps_Major : IrregularityofEndRegion2,IrregularityofEndRegion2,Corpus_Callosum_Forceps_Major,lgrg,0
b25_V9,b25,V9,Inferior_Longitudinal_Fasciculus_R : BranchVolume,BranchVolume,Inferior_Longitudinal_Fasciculus_R,lgrg,0
b18_V28,b18,V28,Fornix_L : rdi,rdi,Fornix_L,lgrg,0
b47_V12,b47,V12,Uncinate_Fasciculus_R : TotalAreaOfEndRegions,TotalAreaOfEndRegions,Uncinate_Fasciculus_R,lgrg,0
b7_V25,b7,V25,Cingulum_Parahippocampal_L : rd,rd,Cingulum_Parahippocampal_L,lgrg,0
b48_V20,b48,V20,Vertical_Occipital_Fasciculus_L : qa,qa,Vertical_Occipital_Fasciculus_L,lgrg,0
b28_V24,b28,V24,Optic_Radiation_L : ad,ad,Optic_Radiation_L,lgrg,0
b40_V30,b40,V30,Thalamic_Radiation_Inferior_L : nrdi04L,nrdi04L,Thalamic_Radiation_Inferior_L,lgrg,0
b39_V15,b39,V15,Thalamic_Radiation_Anterior_R : RadiusOfEndRegion1,RadiusOfEndRegion1,Thalamic_Radiation_Anterior_R,lgrg,0
b16_V6,b16,V6,Corticospinal_Tract_L : Diameter,Diameter,Corticospinal_Tract_L,lgrg,0
b23_V3,b23,V3,Inferior_Fronto_Occipital_Fasciculus_R : Span,Span,Inferior_Fronto_Occipital_Fasciculus_R,lgrg,0
b26_V9,b26,V9,Middle_Longitudinal_Fasciculus_L : BranchVolume,BranchVolume,Middle_Longitudinal_Fasciculus_L,lgrg,0
b26_V14,b26,V14,Middle_Longitudinal_Fasciculus_L : AreaOfEndRegion1,AreaOfEndRegion1,Middle_Longitudinal_Fasciculus_L,lgrg,0
b13_V31,b13,V31,Corpus_Callosum_Body : nrdi06L,nrdi06L,Corpus_Callosum_Body,lgrg,0
b2_V22,b2,V22,Arcuate_Fasciculus_R : dti_fa,dti_fa,Arcuate_Fasciculus_R,lgrg,0
